# Authors of papers coded as being about China (CHN in country_iso3_list)
# Source: data/country_classified.csv  |  Total papers: 217
# Format per line: AUTHORS  |  Title  (JOURNAL YEAR, doi:DOI)  [setting; iso3_list]
#----------------------------------------------------------------------------------------------------
Panle Jia Barwick; Shanjun Li; Liguo Lin; Eric Zou  |  From Fog to Smog: The Value of Pollution Information  (AER 2024, doi:10.1257/aer.20200956)  [single_country; CHN]
Yan Bai; Keyu Jin; Dan Lu  |  Misallocation under Trade Liberalization  (AER 2024, doi:10.1257/aer.20200596)  [single_country; CHN]
Bei Qin; David Strömberg; Yanhui Wu  |  Social Media and Collective Action in China  (ECMA 2024, doi:10.3982/ecta20146)  [single_country; CHN]
Alexander W. Cappelen; Ranveig Falch; Zhong-Jing Huang; Bertil Tungodden  |  Acceptance of Inequality Between Children: Large-Scale Experimental Evidence from China and Norway  (EJ 2024, doi:10.1093/ej/ueae097)  [multi_country; CHN]
Chong‐En Bai; Ruixue Jia; Hongbin Li; Xin Wang  |  Entrepreneurial Reluctance: Talent and Firm Creation in China  (EJ 2024, doi:10.1093/ej/ueae094)  [single_country; CHN]
Naijia Guo; Shuangxin Wang; Junsen Zhang  |  The Short- and Long-Run Impacts of Free Education on Schooling: Direct Effects and Intra-Household Spillovers  (EJ 2024, doi:10.1093/ej/ueae049)  [single_country; CHN]
Osea Giuntella; Yi Lu; Tianyi Wang  |  How do Workers Adjust to Robots? Evidence from China  (EJ 2024, doi:10.1093/ej/ueae086)  [single_country; CHN]
Tiago Calvacanti; Zeina Hasna; Cezar Santos  |  Climate Change Mitigation Policies: Aggregate and Distributional Effects  (EJ 2024, doi:10.1093/ej/ueae113)  [multi_country; CHN]
Burak Uras; Ping Wang  |  Misallocation, Productivity and Development with Endogenous Production Techniques  (JDE 2024, doi:10.1016/j.jdeveco.2023.103251)  [multi_country; CHN;IND]
Chong Liu; Wenyi Lu; Ye Yuan  |  The quiet revolution: Send-down movement and female empowerment in China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103379)  [single_country; CHN]
Enze Xie; Mingzhi Xu; Miaojie Yu  |  Trade liberalization, labor market power, and misallocation across firms: Evidence from China's WTO accession  (JDE 2024, doi:10.1016/j.jdeveco.2024.103353)  [single_country; CHN]
Hongbin Li; Lingsheng Meng; Kai Mu; Shaoda Wang  |  English language requirement and educational inequality: Evidence from 16 million college applicants in China  (JDE 2024, doi:10.1016/j.jdeveco.2024.103271)  [single_country; CHN]
