iso3,name_canonical,income_group,headcount_pct_2021,headcount_year_used,headcount_reporting_level,headcount_is_interpolated,headcount_is_stale,total_population_2021,poor_population_2021_mn,poverty_data_missing,headcount_pct_2002,headcount_2002_is_interpolated,total_population_2002,poor_population_2002_mn,poverty_reduction_2002_to_2021_mn,poverty_change_data_missing
SDN,Sudan,LIC,2.9900,2014,national,FALSE,TRUE,48066924,1.4372,FALSE,,,29228727,,,TRUE
SEN,Senegal,LMC,5.9600,2021,national,FALSE,FALSE,17220867,1.0264,FALSE,,,10466214,,,TRUE
SLB,Solomon Islands,LMC,21.0600,2012,national,FALSE,TRUE,762591,0.1606,FALSE,,,457671,,,TRUE
SLE,Sierra Leone,LIC,19.0000,2018,national,FALSE,FALSE,8094602,1.5380,FALSE,,,4971435,,,TRUE
SLV,El Salvador,UMC,3.2300,2021,national,FALSE,FALSE,6255782,0.2021,FALSE,13.2800,FALSE,5986631,0.7950,0.5930,FALSE
SOM,"Somalia, Fed. Rep.",LIC,,,,,,17271431,,TRUE,,,9550063,,,TRUE
SRB,Serbia,UMC,1.1700,2021,national,FALSE,FALSE,6834326,0.0800,FALSE,0.1100,FALSE,7500031,0.0083,-0.0717,FALSE
SSD,South Sudan,LIC,63.7200,2016,national,FALSE,FALSE,10865780,6.9237,FALSE,,,6596806,,,TRUE
STP,Sao Tome and Principe,LMC,4.6800,2017,national,FALSE,FALSE,221961,0.0104,FALSE,,,149922,,,TRUE
SUR,Suriname,UMC,17.5300,1999,urban,FALSE,TRUE,617896,0.1083,FALSE,,,496551,,,TRUE
SWZ,Eswatini,LMC,29.5400,2016,national,FALSE,FALSE,1206593,0.3564,FALSE,,,1059441,,,TRUE
SYR,Syrian Arab Republic,LIC,0.0000,2009,national,FALSE,TRUE,21628839,0.0000,FALSE,,,17468332,,,TRUE
TCD,Chad,LIC,21.6500,2018,national,FALSE,FALSE,17828273,3.8598,FALSE,,,9116192,,,TRUE
TGO,Togo,LIC,17.3600,2021,national,FALSE,FALSE,8878379,1.5413,FALSE,,,5413274,,,TRUE
THA,Thailand,UMC,0.0100,2021,national,FALSE,FALSE,71727332,0.0072,FALSE,0.9000,FALSE,64266437,0.5784,0.5712,FALSE
TJK,Tajikistan,LMC,3.1100,2021,national,FALSE,FALSE,9966908,0.3100,FALSE,,,6531669,,,TRUE
TKM,Turkmenistan,UMC,18.1200,1998,national,FALSE,TRUE,7092043,1.2851,FALSE,,,4769465,,,TRUE
TLS,Timor-Leste,LMC,18.0700,2014,national,FALSE,TRUE,1350139,0.2440,FALSE,,,879159,,,TRUE
TON,Tonga,UMC,0.0000,2021,national,FALSE,FALSE,105490,0.0000,FALSE,,,103874,,,TRUE
TUN,Tunisia,LMC,0.2100,2021,national,FALSE,FALSE,12048622,0.0253,FALSE,,,9971515,,,TRUE
TUR,Turkiye,UMC,0.4500,2021,national,FALSE,FALSE,84147318,0.3787,FALSE,2.4900,FALSE,67048795,1.6695,1.2909,FALSE
TUV,Tuvalu,UMC,2.7100,2010,national,FALSE,TRUE,10194,0.0003,FALSE,,,9623,,,TRUE
TZA,Tanzania,LMC,29.1600,2018,national,FALSE,FALSE,62830412,18.3213,FALSE,,,36121304,,,TRUE
UGA,Uganda,LIC,40.0400,2019,national,FALSE,FALSE,45910930,18.3827,FALSE,64.2600,FALSE,25532870,16.4074,-1.9753,FALSE
UKR,Ukraine,UMC,0.0200,2020,national,FALSE,FALSE,44298640,0.0089,FALSE,1.8000,FALSE,48677281,0.8762,0.8673,FALSE
UZB,Uzbekistan,LMC,2.2800,2021,national,FALSE,FALSE,34243696,0.7808,FALSE,85.0600,FALSE,25399980,21.6052,20.8245,FALSE
VCT,St. Vincent and the Grenadines,UMC,,,,,,102841,,TRUE,,,113347,,,TRUE
VNM,Viet Nam,LMC,0.3300,2020,national,FALSE,FALSE,98935098,0.3265,FALSE,20.2900,FALSE,78772224,15.9829,15.6564,FALSE
VUT,Vanuatu,LMC,7.2400,2019,national,FALSE,FALSE,305868,0.0221,FALSE,,,195863,,,TRUE
WSM,Samoa,UMC,0.7900,2013,national,FALSE,TRUE,213779,0.0017,FALSE,1.3800,FALSE,184471,0.0025,0.0009,FALSE
XKX,Kosovo,UMC,20.0400,2021,national,FALSE,FALSE,1786079,0.3579,FALSE,,,1829462,,,TRUE
YEM,"Yemen, Rep.",LIC,15.1100,2014,national,FALSE,TRUE,37140230,5.6119,FALSE,,,20835086,,,TRUE
ZAF,South Africa,UMC,16.2400,2014,national,FALSE,TRUE,61502603,9.9880,FALSE,,,48019415,,,TRUE
ZMB,Zambia,LMC,56.5300,2015,national,FALSE,TRUE,19603607,11.0819,FALSE,49.0600,FALSE,10647949,5.2239,-5.8580,FALSE
ZWE,Zimbabwe,LMC,32.8500,2019,national,FALSE,FALSE,15797210,5.1894,FALSE,,,12087653,,,TRUE
